ID,Name,Sector,Sales,Profit,Employees,Region
1,ABC Corp,IT,120000.0,18200.0,50.0,West
2,HealthPlus,Healthcare,85000.0,12000.0,37.2,North
3,AgroFarm,Healthcare,60000.0,8000.0,30.0,East
4,FinServe,Finance,150000.0,20100.0,70.0,East
5,TechNova,IT,104470.4108170769,15000.0,45.0,West
6,MedLife,Healthcare,90000.0,11000.0,40.0,South
7,GreenGrow,Agriculture,50000.0,8300.0,25.0,East
8,SafeBank,Finance,130000.0,20000.0,54.6,North
9,InnoTech,IT,140000.0,18000.0,60.0,East
10,CityCare,Healthcare,62754.22621794556,9000.0,35.0,West
11,AgriPro,Agriculture,55000.0,7000.0,26.4,South
12,MoneyMatters,Finance,125000.0,18200.0,55.0,East
13,NextGen,IT,135000.0,17000.0,50.0,North
14,Wellness,Healthcare,80000.0,10900.0,30.0,East
15,FarmFresh,Agriculture,23734.663399554847,6000.0,20.0,West
16,SecureFin,Finance,145000.0,21000.0,65.0,South
17,CodeBase,IT,155000.0,20500.0,70.0,East
18,LifeCare,Healthcare,95000.0,13000.0,37.2,North
19,AgroTech,Agriculture,52000.0,8300.0,22.0,West
20,FinEdge,Finance,152869.1912340332,19000.0,60.0,South
21,SoftSolutions,IT,160000.0,22000.0,68.0,East
22,HealthHub,Healthcare,88000.0,12700.0,38.0,North
23,GreenField,Agriculture,58000.0,7500.0,28.0,East
24,TrustBank,Finance,135000.0,19300.0,58.0,West
25,DevWorks,IT,167656.42463668511,20000.0,65.0,South
26,MediPlus,Healthcare,92000.0,12500.0,37.2,East
27,AgriZone,Agriculture,61000.0,8300.0,27.0,North
28,FinCorp,Finance,148000.0,20500.0,65.0,West
29,TechWorld,IT,170000.0,20500.0,75.0,South
30,CarePoint,Healthcare,68367.59627800695,10000.0,33.0,East
